px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
8.46292	0.243462	-3.03909	-0.087429	0	8.46292	0.243462	8.6	0.25	-3.00029	0	0
8.43647	0.251972	-3.03259	-0.0882747	-2.29763e-05	8.44818	0.251553	8.45	0.25	-3.00027	0	0.15165
8.44136	0.239353	-1.37386	-0.372935	-0.032915	8.56759	0.241943	8.45	0.25	0	0	33.195
8.41465	0.264984	-1.35788	-0.374461	-0.0327587	8.45582	0.253997	8.45	0.25	0	0	0.323356
8.31406	0.250603	-1.70785	0.0185549	0.0534024	8.42544	0.254042	8.35	0.25	-1.81979	0	4.54349
8.22641	0.248809	-1.7051	0.0205809	0.0535644	8.23962	0.24916	8.25	0.25	-1.81978	0	0.0253795
8.00356	0.190506	-3.55102	0.328332	0.437873	7.93286	0.188391	8.05	0.2	-3.99976	-0.99994	67.416
7.83746	0.131613	-3.54958	0.349655	0.434947	7.84073	0.159858	7.85	0.15	-3.99972	-0.99993	0.0817431
7.68947	0.155002	-3.08682	0.108386	-0.807929	7.61269	0.155818	7.7	0.15	-2.99982	0	36.3371
7.53658	0.141453	-3.08624	0.0679397	-0.808399	7.54016	0.159641	7.55	0.15	-2.99982	0	0.03471
7.4773	0.0978234	-2.08427	0.165017	-0.184672	7.50815	0.0953827	7.45	0.100001	-1.8165	-0.908239	40.098
7.36045	0.079431	-2.08822	0.155054	-0.183195	7.3426	0.0345312	7.35	0.0500011	-1.81648	-0.90823	0.240418
7.16604	0.0114424	-2.87528	0.294292	0.368722	7.20598	0.00492725	7.2	9.49949e-07	-2.72851	-0.909507	86.4307
7.02087	-0.0358613	-2.87036	0.314909	0.369246	7.05406	-0.0533413	7.05	-0.0499992	-2.72849	-0.909499	0.159287
6.85442	-0.138999	-2.37359	0.48876	0.838638	6.74585	-0.143185	6.95	-0.15	-1.81898	-1.81898	134.125
6.7551	-0.203063	-2.36386	0.536909	0.842759	6.84972	-0.258748	6.85	-0.25	-1.81896	-1.81897	1.343
6.57746	-0.336389	-3.18391	0.648876	1.03124	6.66966	-0.346668	6.75	-0.349999	-2.00076	-2.00075	123.089
6.47612	-0.436891	-3.17263	0.705139	1.03989	6.64329	-0.462604	6.65	-0.449999	-2.00076	-2.00075	3.24681
6.42547	-0.539697	-2.31091	0.822235	1.18718	6.60862	-0.557035	6.6	-0.549999	-0.998836	-1.99769	70.964
6.37286	-0.62898	-2.30461	0.887741	1.19693	6.56029	-0.650892	6.55	-0.65	-0.99884	-1.99769	4.00727
6.31903	-0.82691	-3.01118	1.03787	1.36308	6.40696	-0.842921	6.5	-0.85	-0.908747	-3.63498	171.364
6.26493	-0.97599	-3.01088	1.12058	1.37404	6.45805	-1.05268	6.45	-1.05	-0.908739	-3.63494	4.81927
6.14809	-1.11411	-3.11593	1.14276	1.27884	6.38626	-1.15695	6.35	-1.15	-1.81897	-1.81898	32.3603
6.09976	-1.27558	-3.11215	1.21889	1.28607	6.25499	-1.25007	6.25	-1.25	-1.81896	-1.81896	2.73365
6.24319	-1.43997	-2.49393	1.45512	1.55577	6.43125	-1.48148	6.3	-1.45	0.909739	-3.63894	263.133
6.24778	-1.58072	-2.50906	1.54561	1.56109	6.36328	-1.65656	6.35	-1.65	0.909727	-3.63891	2.10862
6.13427	-1.75905	-3.0301	1.52097	1.40335	6.3228	-1.81431	6.3	-1.8	-0.999494	-2.9985	147.633
6.14398	-1.91393	-3.03627	1.59537	1.40746	6.24641	-1.95075	6.25	-1.95	-0.999489	-2.99847	1.31944
6.21135	-2.07485	-3.1757	1.71435	1.4783	6.31851	-2.10969	6.3	-2.1	0.999984	-2.99994	19.8448
6.24955	-2.23427	-3.18277	1.79143	1.48101	6.34644	-2.23829	6.35	-2.25	0.999979	-2.99994	1.03567
6.21629	-2.35708	-2.37032	1.81066	1.39068	6.32593	-2.40018	6.35	-2.4	0	-2.72613	45.8246
6.26264	-2.48679	-2.38522	1.89017	1.39272	6.34927	-2.55175	6.35	-2.55	0	-2.72611	1.29207
6.29439	-2.659	-2.95039	1.93508	1.3461	6.43125	-2.71878	6.4	-2.7	0.909499	-2.72851	18.9573
